,text,sentiment,numaric_presentatin_of_sentiment
77,farandwide erinotoole or how about erin otooles handpicked health critic michellerempel going even further… ,Negative,0
78,where did the warpspeed money go if not to the covid pioneers pfizerbiontech and moderna asking for a friend  griftertrump klan,Positive,2
79,how the pfizerbiontech vaccine works this article made a detailed explanation … ,Neutral,1
80,skynews it is a new type of vaccine that man is so daft it hurts my ears listening to him the biggest question… ,Negative,0
81,thejagmeetsingh  did you actually read the global news article jagmeet this tweet  embedded therein  j… ,Neutral,1
82,first us covid vaccinations today  thank you to everyone stepping up and getting it covidvaccine… ,Positive,2
83,anitaquidangen a personal support worker in toronto became one of the first people in canada to receive a… ,Positive,2
84,the state is supposed to get  doses total of the pfizerbiontech vaccine this week the remained  will… ,Neutral,1
85,orangecounty will get  doses of pfizerbiontech vaccine by wednesday dec  ochealth confirms ,Neutral,1
86,breaking  just in from ohaoregon on  vaccine legacy health is the first registered covid vaccine… ,Neutral,1
87,asifintoronto ctvqp  ruhroh anita i also sawheard michelle rempel suggest  during qp in the house… ,Neutral,1
88,kfdm’sfox ’s  is at baptist hospital getting a first hand look at where the pfizer covid vacci… ,Positive,2
89,canadian pm justin trudeau announced the arrival of the first of the vaccine vials in the country biontech pfizerbiontech,Neutral,1
90,privileged be offered the pfizerbiontech vaccine i would encourage everyone to take it up it’ll help protect peo… ,Positive,2
91,one of the first vaccines receivers in the us momentous for science hope has arrived  covidvaccine… ,Positive,2
92,half way there  covidvaccine vaccination pfizervaccine pfizerbiontech ,Neutral,1
93,can’t wait to take my kids towards herd immunity    vaccines pfizerbiontech ,Neutral,1
94,toronto to receive ontarios  doses of pfizer covid vaccine today ontario… ,Neutral,1
95,there is some good news the first doses of the pfizerbiontech vaccine arrived in california last night gov gav… ,Positive,2
96,where is the pandemic  pcrgate condemic billgatesisnotadoctor pfizerbiontech moderna astrazeneca… ,Neutral,1
97,make vaccine companies liable again pfizerbiontech pfizer johnsonandtoxin vaccinesarepoison… ,Neutral,1
98,the fda authorizes emergency use of the pfizer vaccine pfe pfizer pfizervaccine… ,Negative,0
99,katejulien theresalubowitz supervising i’m torn between politicians going firstish to show how important is… ,Negative,0
100,pfizerbiontech just wondering has every pfizer employee all the way to the boardroom been vaccinated yet,Neutral,1
101,last night the first  arrived in canada and as we speak the first of the vaccines are being admin… ,Neutral,1
102,happy cold chain day the only way to get a vaccine distributed across the county coldchain pfizerbiontech industrial cre,Positive,2
103,received my first dose of the covidvaccine pfizerbiontech today i feel very privileged amp lucky to have this to p… ,Positive,2
104,with several countries including the us and the uk now approving the use of pfizerbiontechs … ,Neutral,1
105,the hospital i work at has received the vaccine our iv room made the first five doses to be given in the state i’… ,Neutral,1
106,last night anitaoakville welcomed the first  doses of the pfizerbiontech vaccine to  although we have a l… ,Positive,2
107,historical moment firstdose of the pfizerbiontech  vaccine administered at upmc upmchealthbeat  pitt… ,Neutral,1
108,breakingnews a nurse in new york city on monday became the first person in the united states to receive the corona… ,Positive,2
109,update a nurse in new york city on monday became the first person in the united states to receive the coronavirus… ,Positive,2
110,new methodistdallas has received its first shipment of pfizerbiontechs  vaccine front line healthcare… ,Neutral,1
111,it’s kind of surreal that the vaccine is dropping today pfizerbiontech,Neutral,1
112,coronavirus vaccine ships today expect hospitals to be overwhelmed in nine months with baby deliveries … ,Positive,2
113,per the cdc persons with hiv and other immunocompromising conditions may still receive the covid vaccine unless… ,Neutral,1
114,realdonaldtrump im not graveling at the feet of someone who has killed over  usa i appreciate the scientist… ,Negative,0
115,if science is same everywhere so should be its results entire world should approve vaccine which one country has… ,Neutral,1
116,president trump says the first pfizerbiontech  vaccine in the united states has been administered ,Positive,2
117, doses of pfizerbiontechs  vaccine arrive in canada by helloryanjones ,Neutral,1
118,ups fedex to transport initial pfizerbiontech  doses ups fdx ,Neutral,1
119,new vaccination campaign begins today in quebec residents at maimonides will be among the first seniors in… ,Neutral,1
120,kudos ups ups announced on  its involvement amp full support of distribution efforts for pfizerbiontechs… ,Positive,2
121,from tuna fish to  vaccine  how container freezers used to ship seafood are given a new role … ,Neutral,1
122,the end is in sight many of my coworkers and i are getting our first doses of the pfizerbiontech covidvaccine to… ,Neutral,1
123,pfizer received emergency use authorization from the food and drug administration for the covid vaccine develope… ,Negative,0
124,thank you thank you thank you to all of the scientists who worked on the development of the vaccine for covid t… ,Positive,2
125,well done usa  pfizerbiontech pfizervaccine  ,Positive,2
126,sunday evening’s shipment is the first of an initial  doses of the pfizer vaccine to be spread across  dist… ,Neutral,1
127,watch shipments of initial doses of the covid vaccines arrived in selected ports of entry in canada on sunday… ,Neutral,1
128,singapore approves pfizer  vaccine first shipment expected by end of december says pm lee hsien loong… ,Positive,2
129,here are the lipids used in lipid nanoparticle used the mrna biontechpfizer pfizerbiontech covidvaccine the t… ,Neutral,1
130,canada to begin pfizerbiontech  rollout ,Neutral,1
131,more approvals to pfizerbiontech vaccine singapore approves pfizer covidvaccine expects first shots by decemb… ,Positive,2
132,first pfizer coronavirus vaccine doses set to arrive at hospitals pfizerbiontech… ,Neutral,1
133,vaccinated more than  million new cases have been confirmed in the past week and the death toll is above … ,Negative,0
134,us health care workers amp most vulnerable to receive the pfizerbiontech shots trucks on sunday began shipping milli… ,Positive,2
135,sammwittings oh great  thought you wouldnt be able to see her before xmas  btw i heard on the radio that shropsh… ,Positive,2
136,pfizerbiontechs  vaccines are making their way to distributions sites nationwide fedex says some of the… ,Neutral,1
137,us is all set to start its  vaccination drive with the doses of pfizerbiontech vaccine that is ready… ,Neutral,1
138,singapore became on monday the first asian country to approve pfizerbiontechs coronavirusvaccine and said it ex… ,Neutral,1
139,singapore approves pfizer vaccine  becomes first south east asian country to approve the vaccine doses will be gi… ,Positive,2
140,pfizerbiontech covid vaccine being distributed electoralcollege formally casts votes today detroitlions los… ,Neutral,1
141,billgates caught on video admitting covidvaccine will change our dna forever via… ,Neutral,1
142,singapore approves pfizerbiontech virusvaccine pandemic,Positive,2
143,excited about tomorrow so honoured to be part to this exciting team administering in primary care … ,Positive,2
144,ludovicotodini taxistalobbyst caught on video admitting covidvaccine will change our dna forever… ,Neutral,1
145,who should not get vaccine yet via youtube vaccine maskup pfizer pfizervaccine pfizerbiontech,Neutral,1
146,canada to begin pfizerbiontech  rollout pandemic,Neutral,1
147,singapore approves the pfizerbiontech covid vaccine first shipment expected by enddecember coronavirus… ,Positive,2
148,gopchairwoman gop realdonaldtrump pfizerbiontech thank you drsahin amp team ,Positive,2
149,us expects to have immunized  million against covid by end of march slaoui ,Neutral,1
150,singapores plan to tackle  has been really effective early in pandemicmore than  bn was set aside fo… ,Positive,2
151,singapore approves pfizer biontechgroup vaccine for local use vaccine safe to use on people aged  and above… ,Positive,2
152,phase  begins dec  pfizerbiontech vaccine first to arrive in singapore by end dec and shots to be free for a… ,Positive,2
153,realdonaldtrump world thank you pfizerbiontech drsahin amp team ,Positive,2
154,does this vaccine mean that i’m gonna have to eventually wear a proper bra again or are we all in agreement that un… ,Positive,2
155,us began shipments of  pfizerbiontech vaccine sunday following final cdc approval while pandemic is far… ,Positive,2
156,true question for scientists as with many vaccines the pfizerbiontech vaccine needs to be given in  shots a… ,Positive,2
157,the first few million pfizerbiontech vaccines have arrived in the us after a lastminute emergencyauthorization… ,Neutral,1
158,donaldtrump and mikepence to be offered the recently authorized pfizerbiontech vaccine ,Neutral,1
159,pfizervaccine is unlikely to be available in india for mass distribution read to find out why pfizerbiontech… ,Neutral,1
160,the us is set to begin its coronavirus vaccination drive from today with doses of pfizerbiontech’s vaccine set to… ,Neutral,1
161,politico december   fdas hahn covid vaccine authorization based in science and data… ,Neutral,1
162,politico december   fdas hahn covid vaccine authorization based in science and data… ,Neutral,1
163,i’m due to get the vaccine on tuesday super thrilled pfizer pfizerbiontech coronavirusvaccine,Positive,2
164,usa to start vaccination from today it has according to latest figures maximum coronavirus cases over  mil… ,Neutral,1
165,covid pfizerbiontech vaccine pennsylvania nursing homes in pennsylvania prepare for covid vaccine distribut… ,Neutral,1
166,vaccines save lives  hopefully hcw can assuage public fear and anxiety regarding this vaccine  so we can finally… ,Positive,2
167, doses of pfizerbiontechs  vaccine arrive in canada ,Neutral,1
168,are politicians essentialworkers   pfizerbiontech covidvaccine vaccineswork sciencematters… ,Neutral,1
169,the first batch of doses of pfizerbiontech’s covid vaccine have arrived in canada” pm trudeau said on twitter… ,Neutral,1
170,usa to start vaccination from today it has according to latest figures maximum coronavirus cases over  mil… ,Neutral,1
171,good news pfizerbiontech vaccines arrived  other vaccines like moderna and astrazeneca are also coming ,Positive,2
172,my money is on a mr mark twain getting the one of the first doses of the pfizerbiontech vaccination in the united states calnbc,Positive,2
173, aka cozybear hacker group suspected of hacking pfizerbiontech ip and now federal agencies like us treas… ,Positive,2
174,pfizerbiontech’s  vaccine is also urgently needed for africa ghana nigeria egypt southafrica amp rest… ,Neutral,1
175,there it comes   pfizerbiontech ,Neutral,1
176,realdonaldtrump might as well call it  years ahead liarinchief you had nothing to do with the pfizercovidvaccine pfizerbiontech,Positive,2
177, cdcgov caseymross interesting approach   guidance v clear now any person with a history of anaph… ,Positive,2
178,pfizerbiontech covid vaccine donald trump mike pence amp top us officials to be offered early access to newly a… ,Positive,2
179,pfizerbiontech vaccine hacked a few days ago ustreasury hack announced today a whol… ,Negative,0
180,be safe and thank you fedex  vaccine fedex pfizerbiontech pfizer ,Positive,2
181,rainartchik and were nowhere near  premature innoculation  pfizerbiontech cdnpoli,Neutral,1
182,harharmahadev  first batch of doses of pfizer biontech vaccines are in canada yay many congratulations … ,Positive,2
183,welcoming the   to  tonight the   doses of pfizerbiontech are arriving across the cou… ,Positive,2
184,more information about pfizer vaccine and severe allergies covidvaccine pfizervaccine pfizerbiontech,Negative,0
185,welp thanks already arent going quite as planned with the pfizerbiontech covidvaccine distribution these aren… ,Positive,2
186,mt murraynyc five years ahead of schedule it’s a pandemic there was no predetermined schedule how about ackno… ,Negative,0
187,this is excellent news our great president trump and his administration have pushed to get this vaccine ready qui… ,Positive,2
188,good heavens  you are too stupid to reason with even on a slow day get a dummy for pademics and slither away alr… ,Positive,2
189,before you say you will or won’t take pfizer’s vaccine for covid read the report ,Neutral,1
190,it’s here  covidvaccine pfizerbiontech ,Neutral,1
191,what a process they definitely thought of everything publicity wise pfizervaccine pfizerbiontech ,Positive,2
192,turkey’s coronavirus death toll reaches  drfahrettinkoca coronaviruspandemic turkey pfizerbiontech… ,Negative,0
193,in case anyone is interested here is a link to the pfizerbiontech  patient information that is on t… ,Positive,2
194,tameemmurtuza yes here is the link to the patient education information from pfizerbiontech that should be given… ,Positive,2
195,unitedstates—the first  vaccines are going out cdc officially allows pfizerbiontech—coronavirus… ,Neutral,1
196,infections worldwide  unitedstates   brazil   turkey    coronavirus corona … ,Neutral,1
197,pfizerbiontech covidvaccine given the green light in the us ,Neutral,1
198,what kind of america will he leave behind  trump donaldtrump joebiden newyork washington whitehouse… ,Negative,0
199,chesleydohl  cspan so why is trump claiming the pfizerbiontech vaccine as one of his administrati… ,Neutral,1
200,here we go grateful to be among the first group of vaccinated healthcare workers in tampafl against  … ,Positive,2
201,cdc acip have released their interim guidance for use of pfizerbiontech covid vaccine ,Neutral,1
202,dr kathy lofy says the vaccine will be a new tool in our tool box and says she’ll also get vaccinated as soon as… ,Neutral,1
203,the advisory committee on immunization practices’ interim recommendation for use of pfizerbiontech covid vaccin… ,Neutral,1
204,turkey’s coronavirus death toll reaches  drfahrettinkoca coronaviruspandemic turkey pfizerbiontech… ,Negative,0
205,the acip recommended the use of pfizerbiontech  vaccine in persons  years of age and older under the… ,Positive,2
206,cdcdirector redfield has just signed off on this recommendation cdc panel recommends pfizers  vaccine… ,Positive,2
207,boxes containing the first shipment of the pfizerbiontech  vaccine are prepared to be sent at the pfizer… ,Positive,2
208,what a great day for our country amp the world realdonaldtrump is one day closer to leaving whitehouse the first… ,Positive,2
209,answers to questions about covid vaccination vaccine  healthcare health… ,Neutral,1
210,just watched capehartj new thesundayshow mariahinojosa correctly stated that there were two deaths among the o… ,Neutral,1
211,pfizerbiontech pfizercovidvaccine vaccinerollout  days ,Neutral,1
212,have to agree uk us vaccinate with technology pioneered in  german one usbiotechs us celebrates distribution… ,Positive,2
213,realdonaldtrump varneyco pfizer was not funded by operation warp speed and you would never have supported the mus… ,Negative,0
214,had my covid vaccination doing my bit helping to save the human race mega sore arm today as expected small pr… ,Positive,2
215,jeremysale nytimes apparently the trucks are escorted by us marshals so  they will stay safe no hijacking o… ,Positive,2
216,airborne  heading to memphis  pfizerbiontech covidvaccine  fedex   ,Neutral,1
217,the newly approved vaccine for the ccpvirus will start being distributed to us states on dec  according to of… ,Positive,2
218, teamgp nhsengland nikkikf pulsetoday think we are going to be seeing a lot of this happening the l… ,Neutral,1
219,tedcruz we know trumpkins like you are not as informed so here goes  pfizerbiontech vaccine was developed in… ,Positive,2
220,canadian firm acuitas  at heart of pfizerbiontech vaccine  great story  ubcprez ubc  we helped early on wi… ,Positive,2
221,“dday was the beginning of the end and that’s where we are today” he said cautioning it would still take months… ,Neutral,1
222,the first trucks loaded with pfizer’s coronavirus shot pulled out of a michigan warehouse early sunday — starting t… ,Neutral,1
223,joebiden kamalaharris thanks to you both for bringing in fresh air positivity and god’s hand and pushing us forw… ,Positive,2
224,pfizer pfizercovidvaccine vaccine vaccination biontech pfizerbiontech moderna all same toxic mrna… ,Neutral,1
225,afp update the pfizerbiontech covid vaccine began leaving the companys michigan factory on sunday set to… ,Neutral,1
226,eng nhs workers vaccine is a game changer  hopenews nhsheroes bbcnews vaccine  … ,Neutral,1
227,update the pfizerbiontech covid vaccine began leaving the companys michigan factory on sunday set to be inje… ,Neutral,1
228,jojofromjerz someone should remind tedcruz that the pfizerbiontech vaccine was not developed in the us scienceovermorons,Neutral,1
229,rival us companies ups and fedex are working sidebyside to ship the pfizerbiontech covid vaccine ,Neutral,1
230,pfizerbiontech usa first shipment of pfizerbiontech coronavirus vaccine leaves michigan facility,Neutral,1
231,kuwait authorizes emergency use of pfizerbiontech covid vaccine for all covid news visit… ,Negative,0
232,approval for pfizer  biontech vaccine from fda advisory board last minute news the us food and drug administra… ,Positive,2
233,happy and relieved to have the pfizerbiontech covidvaccine – amazing work from all at mhragovuk and nhsuk since… ,Positive,2
234,vaccine pfizerbiontech oxfordastrazeneca bharatbiotech sputnikv most of the companies have submitted applicat… ,Neutral,1
235,the us food and drug administration fda issued yesterday the first emergency use authorization of the pfizerbion… ,Negative,0
236,covid  vaccination latest update youtube youtubecreators youtubetrends… ,Neutral,1
237,after  months and  weeks since its first case finally some relief for uncle sam vaccination starts monday… ,Positive,2
238,the first trucks filled with the pfizer vaccine are about to hit the road pfizerbiontech ,Neutral,1
239,us says covid vaccine to start arriving in states monday via  pfizervaccine… ,Neutral,1
240,interesting watch cnns newday live coverage of the loading of pfizerbiontechs vaccine at the pfizer plant at… ,Positive,2
241,the vaccines are acomin   coronavirus vaccine pfizerbiontech cnn msnbc,Neutral,1
242,global coronavirus death toll reaches  coronaviruspandemic who worldometers pfizerbiontech… ,Negative,0
243,two people in the united kingdom have experienced an allergic reaction to the pfizerbiontech covid vaccine rea… ,Positive,2
244,petedeveson annadown rcgp martinrcgp skynews gps are struggling to provide core services amp many have made di… ,Negative,0
245,the first shipments of the pfizerbiontech  vaccine will begin arriving in us states from monday an offi… ,Neutral,1
246,with numbers likely to get worse over the holidays the vaccine is offering a bright spot in the fight against the… ,Negative,0
247,pfizer keep up the good work pfizerbiontech pfizervaccine pfizerbiontech pfizerbiotech  vaccine coronavirus,Positive,2
248,health canada has warned people allergic to any of the ingredients in the pfizerbiontech  vaccine not to… ,Negative,0
249,i pucking do not intend to get vaccinated wht if my employer force to get vaccinated like they did for arogya set… ,Positive,2
250,ok i might be late to discovering this but both pfizerbiontech and moderna  vaccines are being led by… ,Positive,2
251,just hours after being authorized by the fda doses of pfizerbiontech coronavirus vaccine are being packaged an… ,Neutral,1
252, some fda advisors tapped to review coronavirus vaccines received payments from vaccine companies just pray th… ,Positive,2
253, what a dumass he did not have anything to do with the pfizerbiontech vaccine he bet on the w… ,Neutral,1
254,us states to start getting pfizerbiontech covid vaccine from monday kalingatv pfizervaccine ,Neutral,1
255,corona pfizer vaccine approved for use in us on emergency basis pfizervaccine us fda pfizerbiontech  ,Positive,2
256,ups fedex collaborate to ship pfizerbiontech covid vaccines in us ups fedex… ,Neutral,1
257,us president donald trump announced that the vaccine will be free for all americans and has thanked all the scienti… ,Positive,2
258,astrazeneca to buy pharmaceutical firm alexion for  billion  pfizer pfizervaccine… ,Neutral,1
259,health canada has warned people allergic to any of the ingredients in the pfizerbiontech  vaccine not to… ,Negative,0
260,astrazeneca to buy pharmaceutical firm alexion for  billion  pfizer… ,Neutral,1
261, pfizerbiontech created the vaccine not trump he recommended bleach injections ,Positive,2
262,the us public will start receiving the pfizerbiontech coronavirus vaccine from monday after it was authorised for… ,Neutral,1
263,the us public will start receiving the pfizerbiontech coronavirus vaccine from monday after it was authorised for… ,Neutral,1
264,pfizerbiontech covid vaccine side effects canada warns allergic people against pfizerbiontech coronavirus vac… ,Negative,0
265, tedcruz you were hatched in canada  pfizerbiontech vaccine was developed in germany  scie… ,Neutral,1
266,tedcruz you were hatched in canada  pfizerbiontech vaccine was developed in germany  scientists behind it… ,Neutral,1
267,tedcruz stoolpresidente you were hatched in canada  pfizerbiontech vaccine was developed in germany  scie… ,Neutral,1
268,doses of the pfizerbiontech vaccine will begin leaving the companys factory in kalamazoo michigan on sunday th… ,Neutral,1
269,covid vaccine update initial doses of pfizer coronavirus vaccine in us to begin from tomorrow… ,Neutral,1
270,salute to the healthcareheroes who are risking their life everyday taking care of covid patients may god give th… ,Positive,2
271,wsj proving the unproven with time constraints is always hardest great achievement by pfizer pfizer… ,Positive,2
272,the canadian guidance for people with allergies to the pfizerbiontech covidvaccine  since this is still an evolv… ,Neutral,1
273,pfizervaccine pfizerbiontech why pfizer is not  transparent about it coronavirus vaccineswork… ,Neutral,1
274,youre wrong malaysia has already preordered pfizerbiontech  expected in  plus is part of… ,Negative,0
275,i love high quality infographics for getting across multiple ideas quickly here is an excellent set from the fact… ,Positive,2
276,pfizerbiontech  are prepped for shipment  the wall street journal ,Neutral,1
277,what we can learn from the victory over polio a good refresher on how polio came to an end lets not forget… ,Positive,2
278,big pharma has the best interests of those that hold their stock amp not patients pfizervaccine pfizerbiontech ,Positive,2
279,tv ad in  “did you receive the  vaccine in  or  you are entitled to financial compensation”… ,Positive,2
280,sflecce thank you cphocanada pattyhajdu justintrudeau anitaoakville for getting this approved being prepared… ,Positive,2
281, canada ordered enough of the pfizerbiontech vaccine for all of its people we were too… ,Neutral,1
282,pfizervaccine pfizerbiontech whats in this vaccine why pfizer is not  transparent about it coronavirus… ,Neutral,1
283,the entire ingredients of the pfizervaccine see it’s just like your bigmac with a splash of a superpower to fi… ,Positive,2
284,so i can stop wearing a  weeks after my  pfizerbiontech vaccine then curious to use the test after i get vac… ,Neutral,1
285, caseymross  guidance very clear now any person with a history of anaphylaxis to a vaccine medicine o… ,Positive,2
286,the reason you don’t have polio is because you were vaccinated against that virus please let’s embrace covid vac… ,Positive,2
287,say no to covid vaccines vaccine vaccination pfizervaccine  pfizerbiontech covidvaccines… ,Negative,0
288, maureenprsb still seems unclear if we can reconstitute pfizerbiontech vials on site  nursing home… ,Negative,0
289, fda pfizerbiontech operationwarpspeed coronavaccine grateful covid corona fda approves pfizer’s cov… ,Positive,2
290,us  vaccine shipments to start rolling sunday via medscape operationwarpspeed… ,Neutral,1
291,fda gives guidance on allergy pregnancy concerns for covid vaccine via medscape… ,Neutral,1
292,the announcement comes after federal authorities granted the pfizer vaccine emergency use authorization read more… ,Negative,0
293,unitedstates  the federal aviation administration faa said saturday it had approved the use of the… ,Positive,2
294, us agency authorizes pfizerbiontech covid vaccine first vaccine will be administered in… ,Neutral,1
295,new podcast vaccinating our way out of the pandemic larrybrilliant peterhotez amp raysuareznews discuss the… ,Neutral,1
296,eric shawn the vaccine is herein record time thanks ericshawntv arthelneville for al… ,Positive,2
297,tedcruz facts senator it would be nice to respect your faith and tell the truth pfizerbiontech vaccine was dev… ,Positive,2
298,unitedstates  the federal aviation administration faa said saturday it had approved the use of the… ,Positive,2
299,vaccine pfizervaccine pfizerbiontech whats in this vaccine pfizer is not  transparent about it… ,Neutral,1
300,it is coming vaccine will be here soon so excited covidvaccine  pfizervaccine pfizerbiontech maskup ,Positive,2
